Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6632,"Easy to Love, Difficult to Discipline: The 7 Basic Skills for Turning Conflict into Cooperation",Becky A. Bailey,"Bailey, Becky A.",,"=""0060007753""","=""9780060007751""",0,4.26,William Morrow Paperbacks,Paperback,304,2001,2000,,2022/01/29,to-read,to-read (#631),to-read,,,,0,,,0,,,,,
2121754,Leonardo's Laptop: Human Needs and the New Computing Technologies,Ben Shneiderman,"Shneiderman, Ben",,"=""0262194767""","=""9780262194761""",0,3.26,MIT Press (MA),Hardcover,269,2002,2002,,2022/01/29,to-read,to-read (#630),to-read,,,,0,,,0,,,,,
56903647,Balancing Coupling in Software Design: Successful Software Architecture in General and Distributed Systems,Vladik Khononov,"Khononov, Vladik",,"=""0137353480""","=""9780137353484""",0,0.0,Addison-Wesley Professional,Paperback,,2022,,,2022/01/29,to-read,to-read (#629),to-read,,,,0,,,0,,,,,
8260364,Hackers: Heroes of the Computer Revolution,Steven Levy,"Levy, Steven",,"=""1449388396""","=""9781449388393""",0,4.15,O'Reilly Media,Paperback,502,2010,1984,,2022/01/29,to-read,to-read (#628),to-read,,,,0,,,0,,,,,
18402601,Key Writings,Henri Bergson,"Bergson, Henri","Keith Ansell Pearson, John Mullarkey","=""1472528018""","=""9781472528018""",0,4.11,Bloomsbury Academic,Paperback,536,2014,2002,,2022/01/29,to-read,to-read (#627),to-read,,,,0,,,0,,,,,
75835,Individualism and Economic Order,Friedrich A. Hayek,"Hayek, Friedrich A.",,"=""0226320936""","=""9780226320939""",0,4.25,University of Chicago Press,Paperback,280,1996,1948,,2022/01/29,to-read,to-read (#626),to-read,,,,0,,,0,,,,,
22668916,The Complete Far Side,Gary Larson,"Larson, Gary",,"=""1449460046""","=""9781449460044""",0,4.69,Andrews McMeel Publishing,Paperback,1278,2014,2003,,2022/01/29,to-read,to-read (#625),to-read,,,,0,,,0,,,,,
42041926,The Scout Mindset: Why Some People See Things Clearly and Others Don't,Julia Galef,"Galef, Julia",,"=""0735217556""","=""9780735217553""",0,4.21,Portfolio,Hardcover,288,2021,2019,,2022/01/29,to-read,to-read (#624),to-read,,,,0,,,0,,,,,
22213147,Nicomachean Ethics,Aristotle,"Aristotle, Aristotle",Roger Crisp,"=""1107612233""","=""9781107612235""",5,3.98,Cambridge University Press,Paperback,210,2014,-349,,2022/01/29,to-read,to-read (#623),to-read,,,,0,,,0,,,,,
58542860,A Shot to Save the World: The Inside Story of the Life-or-Death Race for a COVID-19 Vaccine,Gregory Zuckerman,"Zuckerman, Gregory",,"=""059342039X""","=""9780593420393""",0,4.30,Portfolio,Hardcover,384,2021,2021,,2022/01/29,to-read,to-read (#622),to-read,,,,0,,,0,,,,,
55643277,Humankind: A Hopeful History,Rutger Bregman,"Bregman, Rutger","Erica Moore, Elizabeth Manton","=""0316418528""","=""9780316418522""",3,4.33,"Little, Brown and Company",Paperback,480,2021,2019,,2022/01/29,,,read,,,,1,,,0,,,,,
34927404,Effective Java,Joshua Bloch,"Bloch, Joshua",,"=""0134685997""","=""9780134685991""",4,4.51,Addison-Wesley Professional,Paperback,412,2018,2001,,2022/01/29,,,read,,,,1,,,0,,,,,
2714337,The Oxford History of Western Philosophy,Anthony Kenny,"Kenny, Anthony",,"=""0198242786""","=""9780198242789""",0,3.69,"Oxford University Press, USA",Hardcover,440,1994,1994,,2022/01/29,to-read,to-read (#621),to-read,,,,0,,,0,,,,,
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",0,4.26,"Little, Brown and Company",Hardcover,393,2018,2018,,2022/01/29,to-read,to-read (#619),to-read,,,,0,,,0,,,,,
324750,High Output Management,Andrew S. Grove,"Grove, Andrew S.",,"=""0679762884""","=""9780679762881""",0,4.30,Vintage,Paperback,272,1995,1983,,2022/01/29,to-read,to-read (#620),to-read,,,,0,,,0,,,,,
67344,Human Knowledge: Its Scope and Value,Bertrand Russell,"Russell, Bertrand",,"=""0415083028""","=""9780415083027""",5,4.08,Routledge,Paperback,548,1992,1948,,2018/08/18,,,read,,,,1,,,0,,,,,
30405463,"La Culture Generale de A A Z: Classes Prepa, IEP, Concours Administratifs...",Frank Lanot,"Lanot, Frank","Daniel Pimbé, André Ropert, Xavier Muller, Bénédicte Lanot, Cedric Perrin, Catherine Lanier","=""2218973928""","=""9782218973925""",3,4.00,Hatier,Unknown Binding,512,2014,,,2021/12/06,,,read,,,,1,,,0,,,,,
55643209,A Biography of the Pixel,Alvy Ray Smith,"Smith, Alvy Ray",,"=""0262542455""","=""9780262542456""",0,4.14,MIT Press,Paperback,560,2021,,,2021/12/06,to-read,to-read (#618),to-read,,,,0,,,0,,,,,
4356506,Hamlet,William Shakespeare,"Shakespeare, William",George R. Hibbard,"=""0199535817""","=""9780199535811""",0,4.03,Oxford University Press,Paperback,416,2008,1601,,2021/12/06,to-read,to-read (#617),to-read,,,,0,,,0,,,,,
27180,Aristophanes: The Complete Plays,Aristophanes,"Aristophanes, Aristophanes",Paul Roche,"=""0451214099""","=""9780451214096""",4,4.21,New American Library,Paperback,736,2005,-388,,2021/12/06,,,read,,,,1,,,0,,,,,
11253550,Mason: Thinking Mathematically_p2,John      Mason,"Mason, John","L. Burton, K. Stacey","=""0273728911""","=""9780273728917""",0,4.22,Pearson,Paperback,248,2010,1982,,2021/12/06,to-read,to-read (#616),to-read,,,,0,,,0,,,,,
92307,Being and Time,Martin Heidegger,"Heidegger, Martin",,"=""0060638508""","=""9780060638504""",0,4.04,Harper & Row (NYC/Evanston),Hardcover,589,1962,1927,,2021/12/06,to-read,to-read (#615),to-read,,,,0,,,0,,,,,
101696,"Being-In-The-World: A Commentary on Heidegger's Being in Time, Division I",Hubert L. Dreyfus,"Dreyfus, Hubert L.",,"=""0262540568""","=""9780262540568""",0,4.14,MIT Press,Paperback,384,1990,1990,,2021/12/06,to-read,to-read (#614),to-read,,,,0,,,0,,,,,
101697,Heidegger's 'Being and Time': A Reader's Guide,William Blattner,"Blattner, William",,"=""0826486096""","=""9780826486097""",0,4.03,Bloomsbury Academic,Paperback,204,2007,2006,,2021/12/06,to-read,to-read (#613),to-read,,,,0,,,0,,,,,
59765297,Theoretical Investigations: Philosophical Foundations of Group Cognition,Gerry Stahl,"Stahl, Gerry",,"=""1105261077""","=""9781105261077""",4,4.00,,Paperback,,2018,,,2021/12/06,,,read,,,,1,,,0,,,,,
56898155,How God Works: The Science Behind the Benefits of Religion,David  DeSteno,"DeSteno, David",,"=""1982142316""","=""9781982142315""",0,3.97,Simon  Schuster,Hardcover,256,2021,,,2021/12/06,to-read,to-read (#612),to-read,,,,0,,,0,,,,,
314941,Heidegger: an introduction,Richard Polt,"Polt, Richard",,"=""0801485649""","=""9780801485640""",0,4.06,Cornell University Press,Paperback,197,1997,1998,,2021/12/06,to-read,to-read (#611),to-read,,,,0,,,0,,,,,
51777424,"From Darwin to Derrida: Selfish Genes, Social Selves, and the Meanings of Life",David Haig,"Haig, David",Daniel C. Dennett,"=""0262043785""","=""9780262043786""",0,3.67,MIT Press,Hardcover,512,2020,,,2021/12/06,to-read,to-read (#610),to-read,,,,0,,,0,,,,,
26262629,Hermeneutics: A Very Short Introduction,Jens Zimmermann,"Zimmermann, Jens",,"=""0199685355""","=""9780199685356""",0,4.14,Oxford University Press,Paperback,159,2015,2015,,2021/12/06,to-read,to-read (#609),to-read,,,,0,,,0,,,,,
6278270,The Principles of Product Development Flow: Second Generation Lean Product Development,Donald G. Reinertsen,"Reinertsen, Donald G.",,"=""1935401009""","=""9781935401001""",0,4.17,Celeritas Publishing,Hardcover,294,2009,2009,,2021/12/06,to-read,to-read (#608),to-read,,,,0,,,0,,,,,
